00:55:09 START 18  / 300 : {'epochs': 10, 'lr': 0.00020000000000000004, 'hidden_layers': [50, 20], 'activation': 'tanh', 'regularization': 'L2', 'reg_const': 0.001}
00:56:47 ENDED 29  / 300 : {'epochs': 10, 'lr': 0.0020000000000000005, 'hidden_layers': [50, 20], 'activation': 'tanh', 'regularization': 'L2', 'reg_const': 0.0001} (0.48953998290611944)
00:56:47 START 30  / 300 : {'epochs': 10, 'lr': 0.0020000000000000005, 'hidden_layers': [50, 20], 'activation': 'tanh', 'regularization': 'L2', 'reg_const': 0.001}
01:01:32 ENDED 5   / 300 : {'epochs': 10, 'lr': 2e-05, 'hidden_layers': [50, 20], 'activation': 'tanh', 'regularization': 'L2', 'reg_const': 0.0001} (0.3660966043884944)
01:01:32 START 6   / 300 : {'epochs': 10, 'lr': 2e-05, 'hidden_layers': [50, 20], 'activation': 'tanh', 'regularization': 'L2', 'reg_const': 0.001}
01:16:28 ENDED 57  / 300 : {'epochs': 10, 'lr': 0.20000000000000004, 'hidden_layers': [50, 20], 'activation': 'relu', 'regularization': 'L2', 'reg_const': 0.0001} (0.7130225016175284)
01:16:28 START 58  / 300 : {'epochs': 10, 'lr': 0.20000000000000004, 'hidden_layers': [50, 20], 'activation': 'relu', 'regularization': 'L2', 'reg_const': 0.001}
01:23:02 ENDED 21  / 300 : {'epochs': 10, 'lr': 0.00020000000000000004, 'hidden_layers': [50, 20], 'activation': 'relu', 'regularization': 'L2', 'reg_const': 0.0001} (0.44754015863760177)
01:23:02 START 22  / 300 : {'epochs': 10, 'lr': 0.00020000000000000004, 'hidden_layers': [50, 20], 'activation': 'relu', 'regularization': 'L2', 'reg_const': 0.001}
01:24:55 ENDED 37  / 300 : {'epochs': 10, 'lr': 0.020000000000000004, 'hidden_layers': [50, 20], 'activation': 'sigmoid', 'regularization': 'L2', 'reg_const': 0.0001} (0.5798260258325278)
01:24:55 START 38  / 300 : {'epochs': 10, 'lr': 0.020000000000000004, 'hidden_layers': [50, 20], 'activation': 'sigmoid', 'regularization': 'L2', 'reg_const': 0.001}
01:27:01 ENDED 25  / 300 : {'epochs': 10, 'lr': 0.0020000000000000005, 'hidden_layers': [50, 20], 'activation': 'sigmoid', 'regularization': 'L2', 'reg_const': 0.0001} (0.4849070620092499)
01:27:01 START 26  / 300 : {'epochs': 10, 'lr': 0.0020000000000000005, 'hidden_layers': [50, 20], 'activation': 'sigmoid', 'regularization': 'L2', 'reg_const': 0.001}
01:27:24 ENDED 53  / 300 : {'epochs': 10, 'lr': 0.20000000000000004, 'hidden_layers': [50, 20], 'activation': 'tanh', 'regularization': 'L2', 'reg_const': 0.0001} (0.7239577924930706)
01:27:24 START 54  / 300 : {'epochs': 10, 'lr': 0.20000000000000004, 'hidden_layers': [50, 20], 'activation': 'tanh', 'regularization': 'L2', 'reg_const': 0.001}
01:49:25 ENDED 69  / 300 : {'epochs': 17, 'lr': 2e-05, 'hidden_layers': [50, 20], 'activation': 'relu', 'regularization': 'L2', 'reg_const': 0.0001} (0.3383789569537746)
01:49:25 START 70  / 300 : {'epochs': 17, 'lr': 2e-05, 'hidden_layers': [50, 20], 'activation': 'relu', 'regularization': 'L2', 'reg_const': 0.001}
02:07:11 ENDED 65  / 300 : {'epochs': 17, 'lr': 2e-05, 'hidden_layers': [50, 20], 'activation': 'tanh', 'regularization': 'L2', 'reg_const': 0.0001} (0.3779185404701616)
02:07:11 START 66  / 300 : {'epochs': 17, 'lr': 2e-05, 'hidden_layers': [50, 20], 'activation': 'tanh', 'regularization': 'L2', 'reg_const': 0.001}
02:12:40 ENDED 2   / 300 : {'epochs': 10, 'lr': 2e-05, 'hidden_layers': [50, 20], 'activation': 'sigmoid', 'regularization': 'L2', 'reg_const': 0.001} (0.3739326309399238)
02:12:40 START 3   / 300 : {'epochs': 10, 'lr': 2e-05, 'hidden_layers': [50, 20], 'activation': 'sigmoid', 'regularization': 'L1', 'reg_const': 0.0001}
02:13:09 ENDED 10  / 300 : {'epochs': 10, 'lr': 2e-05, 'hidden_layers': [50, 20], 'activation': 'relu', 'regularization': 'L2', 'reg_const': 0.001} (0.38658529766516764)
02:13:09 START 11  / 300 : {'epochs': 10, 'lr': 2e-05, 'hidden_layers': [50, 20], 'activation': 'relu', 'regularization': 'L1', 'reg_const': 0.0001}
02:15:46 ENDED 46  / 300 : {'epochs': 10, 'lr': 0.020000000000000004, 'hidden_layers': [50, 20], 'activation': 'relu', 'regularization': 'L2', 'reg_const': 0.001} (0.6799610195621091)
02:15:46 START 47  / 300 : {'epochs': 10, 'lr': 0.020000000000000004, 'hidden_layers': [50, 20], 'activation': 'relu', 'regularization': 'L1', 'reg_const': 0.0001}
02:17:02 ENDED 73  / 300 : {'epochs': 17, 'lr': 0.00020000000000000004, 'hidden_layers': [50, 20], 'activation': 'sigmoid', 'regularization': 'L2', 'reg_const': 0.0001} (0.4430829692230272)
02:17:02 START 74  / 300 : {'epochs': 17, 'lr': 0.00020000000000000004, 'hidden_layers': [50, 20], 'activation': 'sigmoid', 'regularization': 'L2', 'reg_const': 0.001}
02:21:09 ENDED 34  / 300 : {'epochs': 10, 'lr': 0.0020000000000000005, 'hidden_layers': [50, 20], 'activation': 'relu', 'regularization': 'L2', 'reg_const': 0.001} (0.4498965580592854)
02:21:09 START 35  / 300 : {'epochs': 10, 'lr': 0.0020000000000000005, 'hidden_layers': [50, 20], 'activation': 'relu', 'regularization': 'L1', 'reg_const': 0.0001}
02:21:32 ENDED 61  / 300 : {'epochs': 17, 'lr': 2e-05, 'hidden_layers': [50, 20], 'activation': 'sigmoid', 'regularization': 'L2', 'reg_const': 0.0001} (0.41902373173790447)
02:21:32 START 62  / 300 : {'epochs': 17, 'lr': 2e-05, 'hidden_layers': [50, 20], 'activation': 'sigmoid', 'regularization': 'L2', 'reg_const': 0.001}
